Product,Link,Stars,Reviews,Prime Availability,Price,Shipping,Total Cost
Transformers Studio Series Number 14: Voyager Class Autobot Ironhide,https://amazon.com/Transformers-Studio-Number-14-Ironhide/dp/B075LFS1RT/ref=sr_1_30?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-30,4.8,271,N,,,
Transformers E0773 MV6 Studio Series 50 Tf4 Gridlock Action Figure,https://amazon.com/Transformers-Studio-Leader-Class-Grimlock/dp/B072KD9T3H/ref=sr_1_31?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-31,4.8,362,N,,,
"Transformers Toys Studio Series 41 Deluxe Class Revenge of The Fallen Movie Constructicon Scrapmetal Action Figure - Ages 8 and Up, 4.5-inch",https://amazon.com/Transformers-E4701AS00-Scrapmetal-Action-Figure/dp/B07DJX18FZ/ref=sr_1_32?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-32,4.7,188,N,,,
"Transformers Toys Studio Series 86-03 Deluxe Class The The Movie 1986 Blurr Action Figure - Ages 8 and Up, 4.5-inch",https://amazon.com/Transformers-Studio-Deluxe-Action-Figure/dp/B08KYFM66W/ref=sr_1_33?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-33,4.7,479,Y,19.99,,19.99
"Hasbro Husbro Transformers Generations War for Cybertron: Nemesis Prime Spoiler Pack, F04895L0",https://amazon.com/Hasbro-Husbro-Transformers-Generations-Cybertron/dp/B08HKW17VP/ref=sr_1_34?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-34,4.8,143,Y,76.0,,76.0
5 in 1 Anime Transformation Toys Devastator Robot Dinosaur Movie Action Figure Car Model Kids boy Toys Gift,https://amazon.com/Transformation-Devastator-Dinosaur-Action-Figure/dp/B096P6DPT2/ref=sr_1_35?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-35,,,N,89.9,FREE Shipping,89.9
Transformer Toys Studio Series 69 Revenge of The Fallen Devastator Constructicon KO Version Action Figures for Children Best Gift,https://amazon.com/Transformer-Revenge-Devastator-Constructicon-Children/dp/B09713XRGC/ref=sr_1_36?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-36,1.0,1,N,252.64,FREE Shipping,252.64
"Transformers Toys Studio Series 42 Voyager Class Revenge of The Fallen Movie Constructicon Long Haul Action Figure - Ages 8 & Up, 6.5"", Brown/A",https://amazon.com/Tra-Studio-Voyager-Long-Haul/dp/B07KLD8Z8T/ref=sr_1_37?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-37,4.8,508,N,121.73,FREE Shipping,121.73
"Transformers Toys Studio Series 51 Deluxe Class Dark of The Moon Movie Soundwave Action Figure - Kids Ages 8 & Up, 4.5""",https://amazon.com/Transformers-Studio-Deluxe-Soundwave-Action/dp/B07W36HH3K/ref=sr_1_38?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-38,4.7,1680,Y,40.96,,40.96
"Transformers Toys Heroic Optimus Prime Action Figure - Timeless Large-Scale Figure, Changes into Toy Truck - Toys for Kids 6 and Up, 11-inch(Amazon Exclusive)",https://amazon.com/Transformers-Heroic-Optimus-Action-Figure/dp/B077YYP739/ref=sr_1_39?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-39,4.6,2798,Y,57.95,,57.95
"Transformers E0976 Studio Series 17 Deluxe Class Age of Extinction Shadow Raider, Multi-Colored",https://amazon.com/Transformers-Studio-Deluxe-Extinction-Shadow/dp/B075LQL5RM/ref=sr_1_40?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-40,4.1,52,N,128.88,$7.93 shipping,136.81
"Transformers Toys Studio Series 60 Voyager Class Revenge of The Fallen Movie Constructicon Scrapper Action Figure - Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Voyager-Revenge-Constructicon-Scrapper/dp/B083VM8331/ref=sr_1_41?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-41,4.8,1075,Y,29.9,,29.9
"Transformers Toys Studio Series 38 Voyager Class Bumblebee Movie Optimus Prime Action Figure - Ages 8 and Up, 6.5-inch",https://amazon.com/Transformers-Studio-Voyager-Bumblebee-Optimus/dp/B07JHSMMKX/ref=sr_1_42?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-42,4.8,523,N,139.99,FREE Shipping,139.99
Transformer Toys Last Knight Leader Class Optimus Prime KO Action Figure Toys 8.6 Inch,https://amazon.com/Transformer-Knight-Leader-Optimus-Action/dp/B0953M26QG/ref=sr_1_43?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-43,4.6,3,N,31.0,FREE Shipping,31.0
Transformers Studio Series #68 Deluxe Class Leadfoot,https://amazon.com/Transformers-Studio-Deluxe-Class-Leadfoot/dp/B08J3TH8FD/ref=sr_1_44?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-44,4.6,89,Y,84.99,,84.99
"Transformers Toys Studio Series 35 Leader Class Revenge of The Fallen Movie Jetfire Action Figure - Kids Ages 8 and Up, 8.5-inch",https://amazon.com/Transformers-E3748AS00-Jetfire-Action-Figure/dp/B07DW17WZK/ref=sr_1_45?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-45,4.7,408,Y,119.95,,119.95
Transformers Studio Series Number 33 Voyager Class Bonecrusher,https://amazon.com/Transformers-TRA-Studio-Voyager-BONECRUSH/dp/B07BSLYM3P/ref=sr_1_46?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-46,4.7,349,Y,131.95,,131.95
Transformers Studio Series 24 and 25 Deluxe Class Bumblebee 2-pack Including 1967 Volkswagen Beetle Bumblebee Movie Version and 2016 Chevrolet Camaro The Last Knight Movie Version,https://amazon.com/Transformers-Bumblebee-Including-Volkswagen-Chevrolet/dp/B07L3PW4VY/ref=sr_1_47?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-47,4.3,285,N,139.95,$6.22 shipping,146.17
Transformers Studio Series 29 Deluxe Class Dark of The Moon Sideswipe Action Figure,https://amazon.com/Transformers-E3726AS00-Sideswipe-Action-Figure/dp/B07DJZHR8Q/ref=sr_1_48?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-48,4.7,414,Y,109.99,,109.99
"Transformers Masterpiece Movie Series Barricade Mpm-5 [Official Hasbro-Takara Tomy], Collector Figure, 6"" Scale (Amazon Exclusive)",https://amazon.com/Transformers-Masterpiece-Barricade-Amazon-Exclusive/dp/B07CLFZ5FB/ref=sr_1_49?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-49,4.8,313,N,,,
Transformers Studio Series 11 Deluxe Class Movie 4 Lockdown,https://amazon.com/Transformers-Studio-Deluxe-Class-Lockdown/dp/B075LFT3BB/ref=sr_1_50?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-50,4.6,170,N,49.0,$7.25 shipping,56.25
"Transformers Toys Studio Series 34 Leader Class Dark of The Moon Movie Megatron with Igor Action Figure - Kids Ages 8 and Up, 8.5-inch",https://amazon.com/Transformers-E3750AS00-Megatron-Action-Figure/dp/B07DKZC7DN/ref=sr_1_51?dchild=1&keywords=transformers+studio+series&qid=1626662788&sr=8-51,4.7,957,N,,,
"Qman Series Building Blocks of Transforming Cube Robot Horned Dinosour(124 PCS), 41201, Age of 6 and Above Applicable Portable Transformers Toys",https://amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A01607413D36XZIKFYZRZ&url=%2FBuilding-Transforming-Dinosour-Applicable-Transformers%2Fdp%2FB08RNW8MWW%2Fref%3Dsr_1_52_sspa%3Fdchild%3D1%26keywords%3Dtransformers%2Bstudio%2Bseries%26qid%3D1626662788%26sr%3D8-52-spons%26psc%3D1&qualifier=1626662788&id=4694986006639205&widgetName=sp_btf,5.0,4,Y,11.99,,11.99
